url,Price,Brand,Model
https://www.kijiji.ca/v-cars-trucks/london/2015-toyota-corolla-s-in-grey-6-speed-manual-transmission/m690637,"$11,988.00",Toyota,Corolla
https://www.kijiji.ca/v-cars-trucks/ottawa/2019-honda-civic-si-sedan-manual-transmission/m906050,"$25,999.00",Honda,Civic
https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2008-subaru-wrx-awd/1557390767,"$10,000.00",Subaru,WRX
https://www.kijiji.ca/v-cars-trucks/kitchener-waterloo/2019-toyota-tacoma-trd-sport-coming-soon-in-blue/m644592,"$43,995.00",Toyota,Tacoma
https://www.kijiji.ca/v-cars-trucks/ottawa/flawless-toyota-mr2-spyder-mid-engine-5spd-only-58k-like-new/1557391654,"$21,500.00",Toyota,MR2
https://www.kijiji.ca/v-cars-trucks/hamilton/2013-honda-civic/1557391969,"$7,000.00",Honda,Civic
https://www.kijiji.ca/v-cars-trucks/ottawa/2017-subaru-impreza-5dr-hb-man-sport-in-white/m410203,"$21,398.00",Subaru,Impreza
https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2020-honda-civic-sport-in-black/m412344,"$26,500.00",Honda,Civic
https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2011-mazda3-gs-sports-hatchback-6-speed-excellent-running/1557393028,"$4,500.00",Mazda,Mazda3 Sport
https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2007-mazda3/1557393188,"$2,650.00",Mazda,3
https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2010-subaru-impreza-wrx-5dr-5sp/m91199,"$8,800.00",Subaru,Impreza
https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2013-volkswagen-jetta-trendline-2-0-5sp/m91200,"$7,800.00",Volkswagen,Jetta
https://www.kijiji.ca/v-cars-trucks/oshawa-durham-region/2016-honda-civic-in-white-manual-transmission/m774539,"$11,900.00",Honda,Civic
